country,model_type,strategy,data_type,rmse,mase,n_predictions
United States,loco,non_recursive,actual,2029.959705958169,2.5946906871996718,9
United States,loco,recursive,actual,3868.3569331467625,4.774762393597211,9
United States,single,non_recursive,actual,710.0862116433628,0.8029733808104146,9
United States,single,recursive,actual,1283.9319416106953,1.4540623408955,9
China,loco,non_recursive,actual,9395.442811444465,5.243964867787161,9
China,loco,recursive,actual,19525.232058355097,10.581897022022227,9
China,single,non_recursive,actual,3957.3121418552246,2.2497010336499965,9
China,single,recursive,actual,12933.916183006959,7.104319277784896,9
Japan,loco,non_recursive,actual,125.02320785770127,0.7904062039137449,9
Japan,loco,recursive,actual,151.21442550839342,0.881907774889897,9
Japan,single,non_recursive,actual,1117.8735600513007,7.174270395742593,9
Japan,single,recursive,actual,1817.4525817555552,11.64496482864993,9
Germany,loco,non_recursive,actual,201.8604030423489,1.4117218600483012,9
Germany,loco,recursive,actual,166.724781557408,1.089547635388213,9
Germany,single,non_recursive,actual,235.35214695172368,1.415775163365762,9
Germany,single,recursive,actual,296.16350027519934,1.7412020399411696,9
United Kingdom,loco,non_recursive,actual,66.5235541901832,0.6669548666471395,9
United Kingdom,loco,recursive,actual,133.67353645830312,1.7579418671673421,9
United Kingdom,single,non_recursive,actual,78.29105315121258,0.9177774156668693,9
United Kingdom,single,recursive,actual,90.72324961787821,1.4479329259497542,9
France,loco,non_recursive,actual,105.0921462800368,0.6442063498431629,9
France,loco,recursive,actual,183.8369055932397,1.1234333842842905,9
France,single,non_recursive,actual,149.02891969350262,0.8824736614978569,9
France,single,recursive,actual,271.7566668888982,1.566221974531082,9
Italy,loco,non_recursive,actual,181.4259935745274,2.2076178763115797,9
Italy,loco,recursive,actual,437.5529775037397,6.134002207436532,9
Italy,single,non_recursive,actual,130.54565256735313,1.7525640468463521,9
Italy,single,recursive,actual,189.36777704895056,2.989790093688052,9
Canada,loco,non_recursive,actual,171.42405333605242,1.5562820306253393,9
Canada,loco,recursive,actual,409.7178930640731,4.417814455758365,9
Canada,single,non_recursive,actual,136.66582219859774,1.141506804026148,9
Canada,single,recursive,actual,265.51896730438256,2.4513231946511937,9
Brazil,loco,non_recursive,actual,212.4953588327228,1.9963779241857786,9
Brazil,loco,recursive,actual,297.82906301395883,2.6970777675687025,9
Brazil,single,non_recursive,actual,214.35395506970698,2.0182014467760654,9
Brazil,single,recursive,actual,404.2017619026748,3.8843775041685205,9
Russia,loco,non_recursive,actual,345.91813765595356,1.466889970297744,9
Russia,loco,recursive,actual,461.4681280233021,2.032216844958363,9
Russia,single,non_recursive,actual,613.3569719192419,2.6644083740497497,9
Russia,single,recursive,actual,946.9486190161427,4.136709801880606,9
India,loco,non_recursive,actual,424.51750714358127,0.4982467206605977,9
India,loco,recursive,actual,1053.0170769066262,1.6681055456219092,9
India,single,non_recursive,actual,716.931640485564,1.0120878044507822,9
India,single,recursive,actual,1948.916180388872,3.240857275460446,9
Australia,loco,non_recursive,actual,60.70880665429984,1.46653729645873,9
Australia,loco,recursive,actual,84.09595778910149,2.1132192638240377,9
Australia,single,non_recursive,actual,68.38943900380919,1.4883562404879171,9
Australia,single,recursive,actual,78.48974397075948,1.8894562257162133,9
Mexico,loco,non_recursive,actual,188.76957368454666,1.9407344346732405,9
Mexico,loco,recursive,actual,337.377628546589,3.602657672415463,9
Mexico,single,non_recursive,actual,270.7174568699225,2.413531894618076,9
Mexico,single,recursive,actual,210.10831269112916,2.0050579922092817,9
Indonesia,loco,non_recursive,actual,264.5863286845828,1.2909882751730113,9
Indonesia,loco,recursive,actual,411.4516670279007,2.3642457505414383,9
Indonesia,single,non_recursive,actual,422.1188087147523,1.8474480639822817,9
Indonesia,single,recursive,actual,505.32127588038804,2.407969377952187,9
Turkey,loco,non_recursive,actual,109.34919930003475,1.493349611738191,9
Turkey,loco,recursive,actual,203.54627867230903,3.3640268221846505,9
Turkey,single,non_recursive,actual,476.9184953729942,6.760527789713443,9
Turkey,single,recursive,actual,813.0691012292258,11.965007556703446,9
Saudi Arabia,loco,non_recursive,actual,384.91120284045496,3.2622441392181445,9
Saudi Arabia,loco,recursive,actual,330.96245946423113,2.6797298148794844,9
Saudi Arabia,single,non_recursive,actual,556.2785513143277,3.945204715889927,9
Saudi Arabia,single,recursive,actual,402.6564252074021,2.6858886787635914,9
South Africa,loco,non_recursive,actual,160.36890927808443,2.9042791803104246,9
South Africa,loco,recursive,actual,185.7082108943903,3.4258089275419072,9
South Africa,single,non_recursive,actual,74.1467142217025,1.5636331746564218,9
South Africa,single,recursive,actual,115.1029016390188,1.9318306035791124,9
Argentina,loco,non_recursive,actual,113.27311945632682,2.300573765402042,9
Argentina,loco,recursive,actual,69.44809896667117,1.283558780115363,9
Argentina,single,non_recursive,actual,105.55499977458264,2.3577696226153173,9
Argentina,single,recursive,actual,226.8461374377164,5.373063561903321,9
South Korea,loco,non_recursive,actual,91.35405897342663,0.8656545850943058,9
South Korea,loco,recursive,actual,90.10993101036907,0.9115558353929272,9
South Korea,single,non_recursive,actual,332.76401948880107,3.0722663109448125,9
South Korea,single,recursive,actual,325.76739314153707,3.290945838295919,9
